2023-02-01 04:21:37 INFO  KubowApplication:67 - Using target [system] located in path [targets]
2023-02-01 04:21:38 INFO  KubowApplication:74 - Initializing rainbow master
2023-02-01 04:21:38 INFO  Rainbow:442 - Unable to find host-specific property file! Will use general file insted. Tried: [kubow-548bb5f4b4-w2k28, 172.17.0.11, localhost, 127.0.0.1]
2023-02-01 04:21:39 INFO  ModelsManager:49 - Successfully loaded and registered KubeZnnSystem:Acme
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:35 - MODEL: Successfully loaded and registered KubeZnnSystem:Acme
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:39 INFO  Rainbow:694 - Delegate: master[MODEL]: Successfully loaded and registered KubeZnnSystem:Acme
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager started.
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:39 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager started.
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:35 - EFFECTOR_MANAGER: Kubow EffectorManager started.
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:35 - MASTER: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-02-01 04:21:39 INFO  Rainbow:694 - Delegate: master[EFFECTOR_MANAGER]: Kubow EffectorManager started.
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:39 INFO  Rainbow:694 - Delegate: master[MASTER]: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:35 - ANALYSIS: Architecture Evaluator started.
2023-02-01 04:21:39 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:39 INFO  Rainbow:694 - Delegate: master[ANALYSIS]: Architecture Evaluator started.
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Parsed script /usr/share/kubow/targets/system/adaptation/tactics.s
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Parsed script /usr/share/kubow/targets/system/adaptation/tactics.s
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Parsed script /usr/share/kubow/targets/system/adaptation/strategies.s
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Kubow Adaptation Manager started.
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Parsed script /usr/share/kubow/targets/system/adaptation/strategies.s
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Kubow Adaptation Manager started.
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:35 - EXECUTOR: Strategy executor initialized
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: master[EXECUTOR]: Strategy executor initialized
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:35 - EXECUTOR: Rainbow Strategy Executor started.
2023-02-01 04:21:40 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 04:21:40 INFO  Rainbow:532 - RM: Rainbow Master started.
2023-02-01 04:21:40 INFO  KubowApplication:79 - Initialized rainbow master
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: master[EXECUTOR]: Rainbow Strategy Executor started.
2023-02-01 04:21:40 INFO  KubowApplication:92 - Trying to initialize rainbow delegate
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: 67e7b4af-29a7-4be8-ac36-47f4d150ddbd[DELEGATE]: RD-67e7b4af-29a7-4be8-ac36-47f4d150ddbd[2023.02.01-04:21:40.881+0000]: Attempting to connecto to master.
2023-02-01 04:21:40 INFO  Rainbow:340 - Master created management connection with delegate 67e7b4af-29a7-4be8-ac36-47f4d150ddbd
2023-02-01 04:21:40 INFO  Rainbow:358 - Sending configuration information to 67e7b4af-29a7-4be8-ac36-47f4d150ddbd.
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: 67e7b4af-29a7-4be8-ac36-47f4d150ddbd[DELEGATE]: RD-67e7b4af-29a7-4be8-ac36-47f4d150ddbd[2023.02.01-04:21:40.902+0000]: Received configuration information.
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: 67e7b4af-29a7-4be8-ac36-47f4d150ddbd[DELEGATE]: RD-67e7b4af-29a7-4be8-ac36-47f4d150ddbd[2023.02.01-04:21:40.904+0000]: Starting.
2023-02-01 04:21:40 INFO  Rainbow:694 - Delegate: 67e7b4af-29a7-4be8-ac36-47f4d150ddbd[DELEGATE]: RD-67e7b4af-29a7-4be8-ac36-47f4d150ddbd[2023.02.01-04:21:40.905+0000]: Rainbow Delegate started.
2023-02-01 04:21:41 INFO  KubowProbe:29 - Probe CpufailureProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 04:21:42 INFO  KubowProbe:29 - Probe DeploymentFailureManagerPropertiesProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  KubowProbe:29 - Probe DeploymentPropertiesProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  KubowProbe:29 - Probe ReplicasHighProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 04:21:42 INFO  KubowProbe:29 - Probe ReplicasLowProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 04:21:42 INFO  KubowProbe:29 - Probe ReplicasTextProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 04:21:42 INFO  KubowProbe:29 - Probe SloProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 04:21:42 INFO  KubowProbe:29 - Probe StabilityProbe@127.0.0.1 initialized
2023-02-01 04:21:42 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
