I0131 20:26:43.858899       1 serving.go:312] Generated self-signed cert (/tmp/apiserver.crt, /tmp/apiserver.key)
I0131 20:26:45.070465       1 secure_serving.go:116] Serving securely on [::]:4443
E0131 20:27:54.072431       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: server misbehaving
E0131 20:28:55.067636       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:50490->10.96.0.10:53: i/o timeout
E0131 20:29:55.066351       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:54853->10.96.0.10:53: i/o timeout
E0131 20:30:55.067810       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:39504->10.96.0.10:53: i/o timeout
E0131 20:31:55.071812       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:46443->10.96.0.10:53: i/o timeout
E0131 20:32:55.072227       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:37600->10.96.0.10:53: i/o timeout
E0131 20:33:55.065793       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:56670->10.96.0.10:53: i/o timeout
E0131 20:34:55.071915       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:58054->10.96.0.10:53: i/o timeout
E0131 20:35:55.069591       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:60874->10.96.0.10:53: i/o timeout
E0131 20:36:55.076459       1 manager.go:111] unable to fully collect metrics: unable to fully scrape metrics from source kubelet_summary:minikube: unable to fetch metrics from Kubelet minikube (minikube): Get https://minikube:10250/stats/summary?only_cpu_and_memory=true: dial tcp: lookup minikube on 10.96.0.10:53: read udp 172.17.0.3:48534->10.96.0.10:53: i/o timeout
