2023-01-31 20:45:18 INFO  KubowApplication:67 - Using target [system] located in path [targets]
2023-01-31 20:45:19 INFO  KubowApplication:74 - Initializing rainbow master
2023-01-31 20:45:19 INFO  Rainbow:442 - Unable to find host-specific property file! Will use general file insted. Tried: [kubow-548bb5f4b4-dqghf, 172.17.0.11, localhost, 127.0.0.1]
2023-01-31 20:45:20 INFO  ModelsManager:49 - Successfully loaded and registered KubeZnnSystem:Acme
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:35 - MODEL: Successfully loaded and registered KubeZnnSystem:Acme
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:36 - 
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager started.
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:36 - 
2023-01-31 20:45:20 INFO  Rainbow:694 - Delegate: master[MODEL]: Successfully loaded and registered KubeZnnSystem:Acme
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:35 - EFFECTOR_MANAGER: Kubow EffectorManager started.
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:36 - 
2023-01-31 20:45:20 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager started.
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:35 - MASTER: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:36 - 
2023-01-31 20:45:20 INFO  Rainbow:694 - Delegate: master[EFFECTOR_MANAGER]: Kubow EffectorManager started.
2023-01-31 20:45:20 INFO  Rainbow:694 - Delegate: master[MASTER]: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:35 - ANALYSIS: Architecture Evaluator started.
2023-01-31 20:45:20 INFO  GuavaMasterReportingPort:36 - 
2023-01-31 20:45:20 INFO  Rainbow:694 - Delegate: master[ANALYSIS]: Architecture Evaluator started.
2023-01-31 20:45:21 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Parsed script /usr/share/kubow/targets/system/adaptation/tactics.s
