2023-02-01 18:04:43 INFO  KubowApplication:67 - Using target [system] located in path [targets]
2023-02-01 18:04:44 INFO  KubowApplication:74 - Initializing rainbow master
2023-02-01 18:04:44 INFO  Rainbow:442 - Unable to find host-specific property file! Will use general file insted. Tried: [kubow-548bb5f4b4-hvwwr, 172.17.0.10, localhost, 127.0.0.1]
2023-02-01 18:04:45 INFO  ModelsManager:49 - Successfully loaded and registered KubeZnnSystem:Acme
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:35 - MODEL: Successfully loaded and registered KubeZnnSystem:Acme
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:45 INFO  Rainbow:694 - Delegate: master[MODEL]: Successfully loaded and registered KubeZnnSystem:Acme
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager started.
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:45 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager started.
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:35 - EFFECTOR_MANAGER: Kubow EffectorManager started.
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:35 - MASTER: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-02-01 18:04:45 INFO  Rainbow:694 - Delegate: master[EFFECTOR_MANAGER]: Kubow EffectorManager started.
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:45 INFO  Rainbow:694 - Delegate: master[MASTER]: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:35 - ANALYSIS: Architecture Evaluator started.
2023-02-01 18:04:45 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:45 INFO  Rainbow:694 - Delegate: master[ANALYSIS]: Architecture Evaluator started.
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Parsed script /usr/share/kubow/targets/system/adaptation/strategies.s
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Previously known script /usr/share/kubow/targets/system/adaptation/tactics.s
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Parsed script /usr/share/kubow/targets/system/adaptation/strategies.s
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Kubow Adaptation Manager started.
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Previously known script /usr/share/kubow/targets/system/adaptation/tactics.s
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Kubow Adaptation Manager started.
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:35 - EXECUTOR: Strategy executor initialized
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: master[EXECUTOR]: Strategy executor initialized
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:35 - EXECUTOR: Rainbow Strategy Executor started.
2023-02-01 18:04:46 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:46 INFO  Rainbow:532 - RM: Rainbow Master started.
2023-02-01 18:04:46 INFO  KubowApplication:79 - Initialized rainbow master
2023-02-01 18:04:46 INFO  KubowApplication:92 - Trying to initialize rainbow delegate
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: master[EXECUTOR]: Rainbow Strategy Executor started.
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[DELEGATE]: RD-eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[2023.02.01-18:04:46.763+0000]: Attempting to connecto to master.
2023-02-01 18:04:46 INFO  Rainbow:340 - Master created management connection with delegate eaf760ff-6a5b-41f0-817b-d5e7e0ef0890
2023-02-01 18:04:46 INFO  Rainbow:358 - Sending configuration information to eaf760ff-6a5b-41f0-817b-d5e7e0ef0890.
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[DELEGATE]: RD-eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[2023.02.01-18:04:46.781+0000]: Received configuration information.
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[DELEGATE]: RD-eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[2023.02.01-18:04:46.784+0000]: Starting.
2023-02-01 18:04:46 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[DELEGATE]: RD-eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[2023.02.01-18:04:46.786+0000]: Rainbow Delegate started.
2023-02-01 18:04:47 INFO  KubowProbe:29 - Probe CpufailureProbe@127.0.0.1 initialized
2023-02-01 18:04:47 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe DeploymentFailureManagerPropertiesProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe DeploymentPropertiesProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe ReplicasHighProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe ReplicasLowProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe ReplicasTextProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe SloProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe StabilityProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 18:04:48 INFO  KubowProbe:29 - Probe TrafficProbe@127.0.0.1 initialized
2023-02-01 18:04:48 INFO  PrometheusClient:25 - Prometheus client successfully initialized for host http://prometheus.default.svc:9090
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created CpufailureGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created CpufailureGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Created CpufailureGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager: A gauge was created CpufailureGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created KubeFailureManagerInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[GAUGE]: G - Kubow Gauge started.
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created KubeFailureManagerInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Created KubeFailureManagerInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created ReplicasHighGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager: A gauge was created KubeFailureManagerInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[GAUGE]: G - Kubow Gauge started.
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created ReplicasHighGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[GAUGE]: G - Kubow Gauge started.
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created KubeZnnInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created KubeZnnInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created StabilityGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created StabilityGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Created KubeZnnInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created SloGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[GAUGE]: G - Kubow Gauge started.
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[GAUGE]: G - Kubow Gauge started.
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created SloGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created ReplicasTextGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created ReplicasTextGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created ReplicasLowGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created ReplicasLowGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[GAUGE]: G - Kubow Gauge started.
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Created SloGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  KubowEffectorManager:146 - EffectorManager: An effector was created rollOut@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Created TrafficGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  RollOutEffector:128 - E[rollOut] + rollOut@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager: A gauge was created TrafficGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  GuavaMasterReportingPort:36 - 
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager: A gauge was created StabilityGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  KubowEffectorManager:146 - EffectorManager: An effector was created scaleDown@127.0.0.1
2023-02-01 18:04:48 INFO  ScaleDownEffector:128 - E[scaleDown] + scaleDown@127.0.0.1
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: eaf760ff-6a5b-41f0-817b-d5e7e0ef0890[GAUGE]: G - Kubow Gauge started.
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Created StabilityGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager: A gauge was created KubeZnnInfoGauge:KubowGaugeT@127.0.0.1
2023-02-01 18:04:48 INFO  ScaleUpEffector:128 - E[scaleUp] + scaleUp@127.0.0.1
