2023-01-29 04:48:03 INFO  KubowApplication:67 - Using target [system] located in path [targets]
2023-01-29 04:48:04 INFO  KubowApplication:74 - Initializing rainbow master
2023-01-29 04:48:04 INFO  Rainbow:442 - Unable to find host-specific property file! Will use general file insted. Tried: [scalabilitya-78d6cbbc7d-vpclj, 172.17.0.7, localhost, 127.0.0.1]
2023-01-29 04:48:05 INFO  ModelsManager:49 - Successfully loaded and registered KubeZnnSystem:Acme
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - MODEL: Successfully loaded and registered KubeZnnSystem:Acme
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[MODEL]: Successfully loaded and registered KubeZnnSystem:Acme
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - EFFECTOR_MANAGER: Kubow EffectorManager started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - MASTER: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[EFFECTOR_MANAGER]: Kubow EffectorManager started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[MASTER]: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - ANALYSIS: Architecture Evaluator started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[ANALYSIS]: Architecture Evaluator started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Parsed script /usr/share/kubow/targets/system/adaptation/tactics.s
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Parsed script /usr/share/kubow/targets/system/adaptation/tactics.s
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Parsed script /usr/share/kubow/targets/system/adaptation/strategies.s
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Parsed script /usr/share/kubow/targets/system/adaptation/strategies.s
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Kubow Adaptation Manager started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - EXECUTOR: Strategy executor initialized
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[ADAPTATION_MANAGER]: Kubow Adaptation Manager started.
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[EXECUTOR]: Strategy executor initialized
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:35 - EXECUTOR: Rainbow Strategy Executor started.
2023-01-29 04:48:05 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 04:48:05 INFO  Rainbow:532 - RM: Rainbow Master started.
2023-01-29 04:48:05 INFO  KubowApplication:79 - Initialized rainbow master
2023-01-29 04:48:05 INFO  KubowApplication:92 - Trying to initialize rainbow delegate
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: master[EXECUTOR]: Rainbow Strategy Executor started.
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: 0b32748c-a74c-49e6-b59e-c11fc3cb2489[DELEGATE]: RD-0b32748c-a74c-49e6-b59e-c11fc3cb2489[2023.01.29-04:48:05.887+0000]: Attempting to connecto to master.
2023-01-29 04:48:05 INFO  Rainbow:340 - Master created management connection with delegate 0b32748c-a74c-49e6-b59e-c11fc3cb2489
2023-01-29 04:48:05 INFO  Rainbow:358 - Sending configuration information to 0b32748c-a74c-49e6-b59e-c11fc3cb2489.
2023-01-29 04:48:05 INFO  Rainbow:694 - Delegate: 0b32748c-a74c-49e6-b59e-c11fc3cb2489[DELEGATE]: RD-0b32748c-a74c-49e6-b59e-c11fc3cb2489[2023.01.29-04:48:05.900+0000]: Received configuration information.
