2023-01-29 12:15:25 INFO  KubowApplication:67 - Using target [system] located in path [targets]
2023-01-29 12:15:26 INFO  KubowApplication:74 - Initializing rainbow master
2023-01-29 12:15:26 INFO  Rainbow:442 - Unable to find host-specific property file! Will use general file insted. Tried: [metacontroller-kubow-8479d7588d-b4c2t, 172.17.0.13, localhost, 127.0.0.1]
2023-01-29 12:15:27 INFO  ModelsManager:49 - Successfully loaded and registered KubeZnnSystem:Acme
2023-01-29 12:15:27 INFO  GuavaMasterReportingPort:35 - MODEL: Successfully loaded and registered KubeZnnSystem:Acme
2023-01-29 12:15:27 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 12:15:27 INFO  GuavaMasterReportingPort:35 - GAUGE_MANAGER: Gauge Manager started.
2023-01-29 12:15:27 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 12:15:27 INFO  Rainbow:694 - Delegate: master[GAUGE_MANAGER]: Gauge Manager started.
2023-01-29 12:15:27 INFO  Rainbow:694 - Delegate: master[MODEL]: Successfully loaded and registered KubeZnnSystem:Acme
2023-01-29 12:15:27 INFO  GuavaMasterReportingPort:35 - EFFECTOR_MANAGER: Kubow EffectorManager started.
2023-01-29 12:15:27 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 12:15:28 INFO  GuavaMasterReportingPort:35 - MASTER: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-01-29 12:15:28 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 12:15:28 INFO  Rainbow:694 - Delegate: master[EFFECTOR_MANAGER]: Kubow EffectorManager started.
2023-01-29 12:15:28 INFO  Rainbow:694 - Delegate: master[MASTER]: Starting org.sa.rainbow.evaluator.acme.ArchEvaluator
2023-01-29 12:15:28 INFO  GuavaMasterReportingPort:35 - ANALYSIS: Architecture Evaluator started.
2023-01-29 12:15:28 INFO  GuavaMasterReportingPort:36 - 
2023-01-29 12:15:28 INFO  Rainbow:694 - Delegate: master[ANALYSIS]: Architecture Evaluator started.
2023-01-29 12:15:29 INFO  GuavaMasterReportingPort:35 - ADAPTATION_MANAGER: Parsed script /usr/share/kubow/targets/system/adaptation/strategies.s
